ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
3676,Bucci et al. 2009;Fan et al. 2017,Euphorbia collina,,Euphorbiaceae,Shrub,P,Woody,Dicot,,,C3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.52,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.178,0.842,0.21,0.708,NA,10,NA,0.708,B,W,sa
3677,Bucci et al. 2009;Fan et al. 2017,Mulinum spinosum,,Apiaceae,Shrub,P,Woody,Dicot,E,,C3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.52,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.178,0.842,0.21,0.708,NA,10,NA,0.708,B,W,sa
3678,Bucci et al. 2009;Fan et al. 2017,Senecio filagionoides,,Asteraceae,Shrub,P,Woody,Dicot,,,C3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.52,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.178,0.842,0.21,0.708,NA,10,NA,0.708,B,W,sa
3679,Bucci et al. 2009;Fan et al. 2017,Adesmia boronioides,,Fabaceae,Shrub,P,Woody,Dicot,E,,C3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.52,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.188,0.842,0.22,0.708,NA,10,NA,0.708,B,W,sa
3680,Bucci et al. 2009;Fan et al. 2017,Colliguaya integerrima,,Euphorbiaceae,Shrub,P,Woody,Dicot,,,C3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.5167,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.188,0.842,0.22,0.708,NA,10,NA,0.708,B,W,sa
3681,Bucci et al. 2009;Fan et al. 2017,Lycium chilense,,Solanaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.52,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.188,0.842,0.22,0.708,NA,10,NA,0.708,B,W,sa
3682,Bucci et al. 2009;Fan et al. 2017,Berberis heterophylla,,Berberidaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.52,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.188,0.842,0.22,0.708,NA,10,NA,0.708,B,W,sa
3683,Bucci et al. 2009;Fan et al. 2017,Schinus johnstonii,,Anacardiaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Patagonian steppe,NT,60805,,Patagonia,-46.52,-71.05,NA,420,gravely sandy loam,SaLo,C,3,282.4708,9.675,42.06522,473.4374,293.15,270.15,23,276.9167,285.2667,288.1667,276.4333,0.023,0.004,45.40317,0.053,0.015,0.028,0.043,0.188,0.842,0.22,0.708,NA,10,NA,0.708,B,W,sa
3684,Bunger & Thomson 1938;Fan et al. 2017,Ulmus pumila,,Ulmaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,9.14,5.86,9.35,0.99,NA,0.23,NA,657.36,NA,NA,NA,NA,0.98,NA,0.02,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.59,-101.62,NA,1001,richfield silt loam,SiLo,M,NA,286.3792,16.25833,39.08253,920.9789,307.15,265.55,41.6,295.4167,275.0667,297.8167,275.0667,0.076,0.007,63.94085,0.201,0.025,0.181,0.025,0.335,1.376,0.24,0,0,12,0,0.941,C,S,sa
3685,Bunger & Thomson 1938;Fan et al. 2017,Maclura pomifera,Toxylon pomiferum,Moraceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.6,-101.62,NA,999,richfield silt loam,SiLo,M,NA,286.3958,16.20833,38.96234,922.1059,307.15,265.55,41.6,295.45,275.0833,297.8667,275.0833,0.076,0.008,63.50308,0.201,0.026,0.181,0.026,0.335,1.377,0.24,0,0,12,0,0.941,C,S,sa
3686,Bunger & Thomson 1938;Fan et al. 2017,Juniperus virginlana,,Cupressaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,7.92,6.1,NA,NA,NA,NA,NA,617.22,NA,NA,NA,NA,0.65,NA,NA,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.59,-101.64,NA,1006,richfield silt loam,SiLo,M,NA,286.3625,16.29167,39.16266,920.862,307.15,265.55,41.6,295.4167,275.0667,297.8167,275.0667,0.075,0.008,63.47239,0.2,0.026,0.181,0.026,0.335,1.374,0.24,0,0,12,0,0.94,C,S,sa
3687,Bunger & Thomson 1938;Fan et al. 2017,Robinia pseudoacacia,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,8.53,6.4,NA,NA,NA,NA,NA,731.76,NA,NA,NA,NA,0.67,NA,NA,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.61,-101.62,NA,999,richfield silt loam,SiLo,M,NA,286.4208,16.10833,38.81526,923.4901,307.15,265.65,41.5,295.5167,275.1,297.9167,275.1,0.075,0.008,63.55529,0.2,0.026,0.181,0.026,0.335,1.376,0.24,0,0,12,0,0.942,C,S,sa
3688,Bunger & Thomson 1938;Fan et al. 2017,Morus alba,,Moraceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,3.96,8.08,11.8,2.4,NA,NA,NA,541.47,NA,NA,NA,NA,0.34,NA,NA,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.62,-101.6,NA,995,richfield silt loam,SiLo,M,NA,286.4792,16.04167,38.65462,924.1764,307.15,265.65,41.5,295.5667,275.15,297.9833,275.15,0.075,0.008,63.47239,0.2,0.026,0.181,0.026,0.335,1.376,0.24,0,0,12,0,0.942,C,S,sa
3689,Bunger & Thomson 1938;Fan et al. 2017,Prunus armeniaca,,Rosaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.59,-101.61,NA,999,richfield silt loam,SiLo,M,NA,286.3958,16.225,39.0024,922.1059,307.15,265.55,41.6,295.45,275.0833,297.8667,275.0833,0.075,0.007,63.81777,0.201,0.025,0.182,0.025,0.335,1.378,0.24,0,0,12,0,0.943,C,S,sa
3690,Bunger & Thomson 1938;Fan et al. 2017,Fraxinus species,,Oleaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.83,11.2,19.08,1.54,NA,NA,NA,480.78,NA,NA,NA,NA,0.1,NA,NA,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.57,-101.65,NA,1011,richfield silt loam,SiLo,M,NA,286.3917,16.2,39.13043,918.536,307.05,265.65,41.4,295.4167,275.1167,297.8167,275.1167,0.075,0.008,63.40029,0.201,0.027,0.183,0.027,0.335,1.375,0.24,0,0,12,0,0.939,C,S,sa
3691,Bunger & Thomson 1938;Fan et al. 2017,Juglans ruvestris,,Juglandaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Western short grasslands,NA.,50815,,Oklahoma Pan Handle. USA,36.6,-101.59,NA,992,richfield silt loam,SiLo,M,NA,286.4583,16.11667,38.83534,923.1981,307.15,265.65,41.5,295.5333,275.1333,297.95,275.1333,0.077,0.008,64.1242,0.204,0.026,0.183,0.026,0.335,1.378,0.24,0,0,12,0,0.939,C,S,sa
3692,Büttner & Leuschner 1994;Fan et al. 2017,Fagus sylvatica,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Atlantic mixed forests,PA,80402,,NW Germany,52.75,10.5,NA,115,sandy. acidic,Sa,C,NA,281.6708,8.008333,31.40523,635.0535,293.75,268.25,25.5,289.6333,277.1667,289.6333,274.1,0.074,0.048,15.11818,0.215,0.157,0.215,0.186,0.73,0.721,1.01,0.235,6,6,0.249,0.235,D,E,hu
3693,Büttner & Leuschner 1994;Fan et al. 2017,Quercus petraea,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Atlantic mixed forests,PA,80402,,NW Germany,52.75,10.5,NA,119,sandy. acidic,Sa,C,NA,281.6708,8.008333,31.40523,635.0535,293.75,268.25,25.5,289.6333,277.1667,289.6333,274.1,0.074,0.048,15.11818,0.215,0.157,0.215,0.186,0.73,0.721,1.01,0.235,6,6,0.249,0.235,D,E,hu
3694,Canham et al. 2012;Fan et al. 2017,Banksia attenuata,,Proteaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Swan Coastal Plain Scrub and Woodlands,AA,11205,,Whiteman Park,-31.8,115.93,NA,48,deep medium coarse sand,Sa,C,3.375,291.6417,11.23333,48.84058,438.9752,302.95,279.95,23,286.6667,297.0333,297.3833,286.6667,0.153,0.008,83.92089,0.41,0.039,0.047,0.41,0.778,1.381,0.56,0.278,4,8,0.278,0.918,D,W,sh
3695,Canham et al. 2012;Fan et al. 2017,Banksia ilicifolia,,Proteaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Swan Coastal Plain Scrub and Woodlands,AA,11205,,Whiteman Park,-31.8,115.93,NA,48,deep medium coarse sand,Sa,C,3.375,291.6417,11.23333,48.84058,438.9752,302.95,279.95,23,286.6667,297.0333,297.3833,286.6667,0.153,0.008,83.92089,0.41,0.039,0.047,0.41,0.778,1.381,0.56,0.278,4,8,0.278,0.918,D,W,sh
3696,Cannon 1911;Fan et al. 2017,Amaranthus palmeri,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C4,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Sonoran desert,NA.,51310,,Sonoran desert,32.22,-111,NA,874,adobe clay. amlpais,Cl,F,NA,293.9583,16.28333,45.61158,740.635,311.55,275.85,35.7,302.5333,297.3833,303.0833,285.1667,0.056,0.005,61.29906,0.142,0.02,0.116,0.076,0.284,1.69,0.17,0,0,12,0,1.383,C,S,ar
3697,Cannon 1911;Fan et al. 2017,Echinocactus wislizenii,,Cactaceae,Succulent,P,,Dicot,,,CAM,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Sonoran desert,NA.,51310,,Sonoran desert,32.22,-111,NA,874,adobe clay. amlpais,Cl,F,NA,293.9583,16.28333,45.61158,740.635,311.55,275.85,35.7,302.5333,297.3833,303.0833,285.1667,0.056,0.005,61.29906,0.142,0.02,0.116,0.076,0.284,1.69,0.17,0,0,12,0,1.383,C,S,ar
3698,Cannon 1911;Fan et al. 2017,Carnegiea gigantea,,Cactaceae,Succulent,P,,Dicot,,,CAM,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Sonoran desert,NA.,51310,,Sonoran desert,32.22,-111,NA,807,adobe clay,Cl,F,NA,293.9583,16.28333,45.61158,740.635,311.55,275.85,35.7,302.5333,297.3833,303.0833,285.1667,0.056,0.005,61.29906,0.142,0.02,0.116,0.076,0.284,1.69,0.17,0,0,12,0,1.383,C,S,ar
3699,Cannon 1911;Fan et al. 2017,Covillea tridentata,,Zygophyllaceae,Shrub,P,Woody,Dicot,,,C3,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Sonoran desert,NA.,51310,,Sonoran desert,32.22,-111,NA,807,adobe clay,Cl,F,NA,293.9583,16.28333,45.61158,740.635,311.55,275.85,35.7,302.5333,297.3833,303.0833,285.1667,0.056,0.005,61.29906,0.142,0.02,0.116,0.076,0.284,1.69,0.17,0,0,12,0,1.383,C,S,ar
3700,Cannon 1911;Fan et al. 2017,Condalia spathulata,,Rhamnaceae,Shrub,P,Woody,Dicot,,,C3,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Sonoran desert,NA.,51310,,Sonoran desert,32.24,-111.02,NA,733,sand. adobe,Sa,C,NA,293.8292,16.29167,45.76311,739.2117,311.35,275.75,35.6,302.3667,297.25,302.9333,285.05,0.057,0.005,61.21943,0.141,0.02,0.115,0.076,0.284,1.711,0.17,0,0,12,0,1.406,C,S,ar
3701,Cannon 1913;Fan et al. 2017,Acanthyllis tragacanthoi,,Cucurbitaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Mediterranean dry woodlands and steppe,PA,81213,,Northern Sahara,33.49,2.94,NA,863,fine sand (avgd based on others),Sa,C,NA,291.0083,13.43333,36.90476,839.182,309.35,272.95,36.4,291.4667,301.8333,301.8333,281.2,0.018,0.005,26.62876,0.048,0.024,0.024,0.037,0.198,1.466,0.14,0,0,12,0,1.318,B,W,ar
3702,Cannon 1913;Fan et al. 2017,Deverra scoparia,,Apiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,North Saharan steppe and woodlands,PA,81321,,Northern Sahara,32.57,3.91,NA,485,stony desert with little soil,Ro,C,NA,294.25,12.88333,35.6879,848.8361,312.25,276.15,36.1,285.1333,305.0833,305.0833,284.25,0.011,0.001,40.37442,0.026,0.007,0.007,0.021,0.114,1.674,0.07,0,0,12,0,1.599,A,W,ar
3703,Cannon 1913;Fan et al. 2017,Peganum harmala L.,Paganum harmala,Nitrariaceae,Forb,P,Herbaceous,Dicot,,,C3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,North Saharan steppe and woodlands,PA,81321,,Northern Sahara,32.41,3.93,NA,401,fine sand,Sa,C,NA,294.7625,13.275,36.46978,848.2552,312.75,276.35,36.4,285.6333,305.5667,305.5667,284.7833,0.011,0.001,44.73339,0.024,0.005,0.005,0.018,0.114,1.7,0.07,0,0,12,0,1.634,A,W,ar
3704,Cannon 1913;Fan et al. 2017,Haloxylon articulatum,,Amaranthaceae,Shrub,P,Woody,Dicot,E,,C4,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,North Saharan steppe and woodlands,PA,81321,,Northern Sahara,32.4,3.93,NA,402,fine sand,Sa,C,NA,294.775,13.3,36.53846,847.4038,312.75,276.35,36.4,285.6333,305.5667,305.5667,284.8,0.011,0.001,45.77891,0.024,0.005,0.005,0.018,0.114,1.701,0.07,0,0,12,0,1.636,A,W,ar
3705,Cannon 1913;Fan et al. 2017,Henophyton deserti,,Brassicaceae,Shrub,P,Woody,Dicot,E,,C3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,North Saharan steppe and woodlands,PA,81321,,Northern Sahara,32.41,3.93,NA,400,fine sand,Sa,C,NA,294.7625,13.275,36.46978,848.2552,312.75,276.35,36.4,285.6333,305.5667,305.5667,284.7833,0.011,0.001,44.73339,0.024,0.005,0.005,0.018,0.114,1.7,0.07,0,0,12,0,1.634,A,W,ar
3706,Cannon 1913;Fan et al. 2017,Peganum harmala L.,Paganum harmala,Nitrariaceae,Forb,P,Herbaceous,Dicot,,,C3,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,North Saharan steppe and woodlands,PA,81321,,Northern Sahara,32.39,3.95,NA,394,fine sand,Sa,C,NA,294.8083,13.21667,36.30952,849.1355,312.75,276.35,36.4,285.6333,305.6167,305.6167,284.8,0.011,0.001,45.77891,0.024,0.005,0.005,0.018,0.114,1.705,0.07,0,0,12,0,1.64,A,W,ar
3707,Cannon 1913;Fan et al. 2017,Haloxylon scoparium,,Amaranthaceae,Shrub,P,Woody,Dicot,E,,C4,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Mediterranean dry woodlands and steppe,PA,81213,,Northern Sahara,34.87,5.72,NA,142,fine sand (avgd based on others),Sa,C,NA,294.4708,11.375,33.75371,818.9363,311.25,277.55,33.7,294.9833,305.0333,305.0333,284.95,0.021,0.002,40.23699,0.056,0.015,0.015,0.043,0.199,1.512,0.13,0,0,12,0,1.357,B,W,ar
3708,Cannon 1913;Fan et al. 2017,Peganum harmala L.,Paganum harmala,Nitrariaceae,Forb,P,Herbaceous,Dicot,,,C3,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Mediterranean dry woodlands and steppe,PA,81213,,Northern Sahara,34.87,5.72,NA,142,fine sand (avgd based on others),Sa,C,NA,294.4708,11.375,33.75371,818.9363,311.25,277.55,33.7,294.9833,305.0333,305.0333,284.95,0.021,0.002,40.23699,0.056,0.015,0.015,0.043,0.199,1.512,0.13,0,0,12,0,1.357,B,W,ar
3709,Cannon 1913;Fan et al. 2017,Plantago albicans,,Plantaginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Mediterranean dry woodlands and steppe,PA,81213,,Northern Sahara,34.87,5.72,NA,142,fine sand (avgd based on others),Sa,C,NA,294.4708,11.375,33.75371,818.9363,311.25,277.55,33.7,294.9833,305.0333,305.0333,284.95,0.021,0.002,40.23699,0.056,0.015,0.015,0.043,0.199,1.512,0.13,0,0,12,0,1.357,B,W,ar
3710,Cannon & Starrett 1956;Fan et al. 2017,Pinus edulis,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,19.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Colorado Plateau shrublands,NA.,51304,,Mesa Land. New Mexico,35.84,-106.96,NA,2231,,Cl,F,20,282.9375,18.675,44.14894,846.7293,303.25,260.95,42.3,293.0333,277.7,293.4667,272.6333,0.058,0.016,49.62216,0.143,0.053,0.124,0.053,0.457,1.269,0.36,0,0,12,0,0.946,C,S,sa
3711,Cardinael et al. 2015;Fan et al. 2017,Juglans regig x nigra L,,Juglandaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Northeastern Spain and Southern France Mediterranean forests,PA,81215,,Montpellier. France,43.72,4.04,NA,74,silty deep alluvial fluvisols,Si,C,6,287.7333,9.783333,36.10086,630.1166,301.45,274.35,27.1,283.9833,295.7833,295.7833,280.4167,0.109,0.022,36.24647,0.239,0.103,0.103,0.194,0.951,1.005,0.95,0.189,5,7,0.189,0.497,D,W,hu
3712,Cardinael et al. 2015;Fan et al. 2017,Triticum turgidum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean Forests; Woodlands & Scrub,Northeastern Spain and Southern France Mediterranean forests,PA,81215,,Montpellier. France,43.72,4.04,NA,74,silty deep alluvial fluvisols,Si,C,6,287.7333,9.783333,36.10086,630.1166,301.45,274.35,27.1,283.9833,295.7833,295.7833,280.4167,0.109,0.022,36.24647,0.239,0.103,0.103,0.194,0.951,1.005,0.95,0.189,5,7,0.189,0.497,D,W,hu
3713,Carrick 2003;Fan et al. 2017,Leipoldtia schultzei,,Aizoaceae,Succulent,P,,Dicot,,,CAM,0.18,0.34,0.64,0.18,0.19,0.24,NA,0.04,0.00573,31.41215982,59.33407966,0.79,0.28,1.06,0.38,Deserts & Xeric Shrublands,Succulent Karoo,AT,31322,,SW South Africa,-30.41,18.25,NA,1105,sandy loam over loose bedrocks,SaLo,C,NA,288.975,13.63333,54.97312,395.7186,300.35,275.55,24.8,284.8167,293.55,293.7,284.0333,0.029,0.009,33.43923,0.082,0.032,0.041,0.082,0.135,1.404,0.1,0,0,12,0,1.176,B,W,ar
3714,Carrick 2003;Fan et al. 2017,Ruschia robusta,,Aizoaceae,Succulent,P,,Dicot,,,CAM,0.28,0.44,0.7,0.15,0.2,0.21,NA,0.11,0.00462,60.63045451,95.27642852,0.95,0.4,0.71,0.3,Deserts & Xeric Shrublands,Succulent Karoo,AT,31322,,SW South Africa,-30.41,18.25,NA,1105,sandy loam over loose bedrocks,SaLo,C,NA,288.975,13.63333,54.97312,395.7186,300.35,275.55,24.8,284.8167,293.55,293.7,284.0333,0.029,0.009,33.43923,0.082,0.032,0.041,0.082,0.135,1.404,0.1,0,0,12,0,1.176,B,W,ar
3715,Carrick 2003;Fan et al. 2017,Hirpicium alienatum,,Asteraceae,Shrub,P,Woody,Dicot,E,,C3,0.4,0.26,0.51,0.27,0.27,0.32,NA,0.06,0.01448,27.63106651,17.96019323,0.84,0.78,0.68,0.63,Deserts & Xeric Shrublands,Succulent Karoo,AT,31322,,SW South Africa,-30.41,18.25,NA,1105,sandy loam over loose bedrocks,SaLo,C,NA,288.975,13.63333,54.97312,395.7186,300.35,275.55,24.8,284.8167,293.55,293.7,284.0333,0.029,0.009,33.43923,0.082,0.032,0.041,0.082,0.135,1.404,0.1,0,0,12,0,1.176,B,W,ar
3716,Carter & Gregorich 2010;Fan et al. 2017,Lolium arundinaceu,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Gulf of St. Lawrence lowland forests,NA.,50408,,Prince Edward,46.33,-63.17,NA,54,fine sandy loam on glacial till,SaLo,C,NA,278.5125,8.941667,24.90715,986.0691,295.55,259.65,35.9,275.4667,270.1167,290.4333,266.4667,0.122,0.083,12.66293,0.342,0.258,0.263,0.308,1.077,0.7,1.54,0.1,9,3,0.564,0.1,D,E,hu
3717,Castellanos et al. 1991;Fan et al. 2017,Bursera excelsa,,Burseraceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Jalisco dry forests,NT,60217,,W Coast of Mexico,19.5,-105.05,NA,58,sandy loam,SaLo,C,NA,298.3417,11.26667,68.28283,215.2782,306.85,290.35,16.5,300.6667,295.8333,300.7,295.7167,0.256,0.002,110.8924,0.628,0.008,0.478,0.04,0.707,1.824,0.39,0.152,3,9,0.152,1.034,D,TS,sa
3718,Castelli et al. 2000;Fan et al. 2017,Carex nebrascensis,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.32,-117.12,NA,2146,Aquic cryoboroll,Lo,M,0.1,279.1958,16.80833,44.82222,761.1339,298.05,260.55,37.5,277.05,288.95,288.95,270.55,0.044,0.018,29.54263,0.129,0.061,0.061,0.082,0.48,1.054,0.46,0.006,2,10,0.006,0.71,C,W,sa
3719,Castelli et al. 2000;Fan et al. 2017,Poa pratensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Great Basin shrub steppe,NA.,51305,,central Nevada. USA,39.32,-117.12,NA,2146,Aquic cumulic cryoboroll,Lo,M,0.29,279.1958,16.80833,44.82222,761.1339,298.05,260.55,37.5,277.05,288.95,288.95,270.55,0.044,0.018,29.54263,0.129,0.061,0.061,0.082,0.48,1.054,0.46,0.006,2,10,0.006,0.71,C,W,sa
